Date,Open,High,Low,Close,Volume
30-May-17,2560,2575.95,2525,2551.1,463817
31-May-17,2533,2572.5,2528,2546.6,1251365
1-Jun-17,2530,2564,2530,2553.6,540032
2-Jun-17,2556.25,2591.85,2552.5,2564.9,677824
5-Jun-17,2565,2619.9,2560.15,2603.95,750094
6-Jun-17,2631,2708.95,2630,2696,2973360
7-Jun-17,2697,2700,2576.55,2615.25,2463888
8-Jun-17,2598,2604.95,2515.5,2521.6,1665357
9-Jun-17,2520,2547.4,2486,2507,1574017
12-Jun-17,2497,2512.9,2470.4,2487.2,813253
13-Jun-17,2465,2481.1,2447,2451.55,587707
14-Jun-17,2455,2476,2455,2470.2,744571
15-Jun-17,2469,2469.7,2405,2411.2,1498599
16-Jun-17,2414.95,2435,2386.5,2399.7,1225213
19-Jun-17,2416.9,2446.35,2405.15,2431.7,822371
20-Jun-17,2431,2449,2380.3,2445,835479
21-Jun-17,2440,2442.15,2397.2,2406.3,828909
22-Jun-17,2409,2431,2385,2394.85,2887941
23-Jun-17,2399.4,2413.95,2354,2361.7,712378
27-Jun-17,2350.6,2384.7,2331.6,2342.85,987165
28-Jun-17,2349.9,2358,2335,2350.05,894863
29-Jun-17,2359,2372.05,2323.1,2333.25,1235913
30-Jun-17,2324.4,2377,2323.1,2362.35,876924
3-Jul-17,2357.4,2383.05,2343.1,2373.6,737978
4-Jul-17,2373.3,2380.45,2350.05,2366.85,607567
5-Jul-17,2360.8,2365,2345,2356,407928
6-Jul-17,2359,2361.9,2340.1,2347.55,513394
7-Jul-17,2350,2356.45,2325.5,2331.95,616045
10-Jul-17,2341,2444.9,2341,2434.95,398392
11-Jul-17,2426,2514.8,2426,2475.8,1768752
12-Jul-17,2482.5,2483.3,2430.1,2439.45,1323225
13-Jul-17,2445,2472,2426.6,2446.4,1565980
14-Jul-17,2383,2425,2375,2397.45,2254216
17-Jul-17,2397.7,2422.1,2382.2,2395.45,1105911
18-Jul-17,2396.15,2443,2396.15,2408.35,954001
19-Jul-17,2415.5,2460,2415.1,2449.6,1957788
20-Jul-17,2449.25,2456.9,2430.5,2444.7,591252
21-Jul-17,2434.9,2500,2434.55,2491.2,1074208
24-Jul-17,2482,2540,2482,2530.7,1135701
25-Jul-17,2525.75,2580,2518.4,2571.5,1339416
26-Jul-17,2560,2575,2547,2556,729913
27-Jul-17,2542.2,2584.8,2466.5,2481.7,2127652
28-Jul-17,2481,2493.05,2442,2484.3,691376
31-Jul-17,2471,2519,2463,2491.8,1009831
1-Aug-17,2500,2520.75,2491,2501.65,873730
2-Aug-17,2500,2508,2462,2473.8,625512
3-Aug-17,2480,2502,2466.45,2489.45,941274
4-Aug-17,2490.8,2528.3,2488,2522.8,693945
7-Aug-17,2516.5,2520,2481.2,2503.45,942760
8-Aug-17,2512,2528.6,2496.3,2503.05,536979
9-Aug-17,2500,2522.85,2493.3,2512,496473
10-Aug-17,2509,2520.6,2486.35,2511.45,763086
11-Aug-17,2499.9,2535,2483,2496.05,697368
14-Aug-17,2503,2509.9,2463,2469.4,393252
16-Aug-17,2484,2543.8,2465.2,2492.35,686670
17-Aug-17,2500.7,2505,2462.1,2485.65,876187
18-Aug-17,2474,2549.9,2471.4,2513.8,1418678
21-Aug-17,2505.5,2549,2494.3,2528.8,1152417
22-Aug-17,2523,2539.5,2492,2497.55,565663
23-Aug-17,2505,2516.8,2473.15,2489.45,781136
24-Aug-17,2497.7,2517.95,2486.15,2496.6,811954
28-Aug-17,2504.6,2505.4,2461,2487.3,1018398
29-Aug-17,2482,2496,2463.95,2470.85,656301
30-Aug-17,2481,2490,2460.1,2484.55,485391
31-Aug-17,2485,2504.4,2466.65,2496.35,892332
1-Sep-17,2480,2498.05,2436.55,2456.45,851165
4-Sep-17,2453.1,2461,2438,2456.2,531272
5-Sep-17,2460,2490,2437.05,2484.35,582997
6-Sep-17,2468.15,2474.85,2450,2453.2,614382
