"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","22-Sep-2021","       3862.95","       3862.50","       3896.85","       3852.45","       3856.75","       3862.15","       3873.71","    1744067","          6756003293.95","      93000","    1015045","         58.20"
"TCS","EQ","23-Sep-2021","       3862.15","       3870.00","       3879.00","       3835.00","       3872.00","       3869.25","       3859.54","    2003869","          7734019886.40","     131024","    1396484","         69.69"
"TCS","EQ","24-Sep-2021","       3869.25","       3890.00","       3944.40","       3855.00","       3878.75","       3871.30","       3908.95","    2320754","          9071718889.85","     185756","    1308031","         56.36"
"TCS","EQ","27-Sep-2021","       3871.30","       3900.00","       3904.00","       3802.90","       3839.00","       3836.95","       3842.81","    1673362","          6430415744.60","     126569","     989998","         59.16"
"TCS","EQ","28-Sep-2021","       3836.95","       3850.00","       3850.00","       3751.25","       3777.05","       3779.15","       3784.75","    2253075","          8527330472.40","     140925","    1558553","         69.17"
"TCS","EQ","29-Sep-2021","       3779.15","       3759.80","       3806.00","       3722.15","       3794.55","       3791.90","       3767.14","    2489161","          9377015958.30","     138418","    1548275","         62.20"
"TCS","EQ","30-Sep-2021","       3791.90","       3805.00","       3805.00","       3750.10","       3778.70","       3775.55","       3773.28","    2252412","          8498981489.30","     145940","    1546273","         68.65"
"TCS","EQ","01-Oct-2021","       3775.55","       3781.75","       3810.00","       3725.00","       3728.65","       3730.20","       3747.99","    1578374","          5915725343.65","     132388","     916682","         58.08"
"TCS","EQ","04-Oct-2021","       3730.20","       3724.80","       3783.65","       3707.45","       3779.00","       3773.30","       3762.58","    1356860","          5105290641.50","      82301","     783170","         57.72"
"TCS","EQ","05-Oct-2021","       3773.30","       3754.00","       3840.00","       3741.60","       3839.10","       3833.30","       3785.15","    1877966","          7108385858.15","     107053","    1088332","         57.95"
"TCS","EQ","06-Oct-2021","       3833.30","       3836.00","       3857.45","       3795.00","       3813.80","       3810.90","       3830.18","    1678154","          6427634316.05","     105524","     949703","         56.59"
"TCS","EQ","07-Oct-2021","       3810.90","       3830.00","       3899.00","       3820.05","       3898.00","       3892.90","       3868.01","    1647233","          6371521151.00","     100510","     693631","         42.11"
"TCS","EQ","08-Oct-2021","       3892.90","       3925.00","       3989.90","       3900.00","       3943.00","       3935.65","       3947.83","    2934339","         11584283174.70","     178433","    1040830","         35.47"
"TCS","EQ","11-Oct-2021","       3935.65","       3755.00","       3757.50","       3660.00","       3687.95","       3685.60","       3702.67","   11845402","         43859658074.25","     704881","    6606303","         55.77"
"TCS","EQ","12-Oct-2021","       3685.60","       3706.00","       3707.00","       3630.60","       3656.20","       3652.85","       3658.54","    5752877","         21047120430.00","     371571","    3799131","         66.04"
"TCS","EQ","13-Oct-2021","       3652.85","       3650.00","       3675.45","       3645.00","       3658.05","       3655.20","       3655.85","    3545655","         12962366655.15","     228263","    2564283","         72.32"
"TCS","EQ","14-Oct-2021","       3655.20","       3625.00","       3670.00","       3608.20","       3614.80","       3611.45","       3626.77","    6442299","         23364720249.30","     406019","    4714726","         73.18"
"TCS","EQ","18-Oct-2021","       3611.45","       3603.45","       3652.70","       3601.45","       3649.00","       3647.15","       3631.23","    3590107","         13036517799.15","     213590","    2407286","         67.05"
"TCS","EQ","19-Oct-2021","       3647.15","       3669.00","       3690.10","       3625.20","       3634.45","       3634.15","       3661.85","    3135441","         11481500581.85","     191609","    1815161","         57.89"
