"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"TCS","EQ","30-Mar-2022","       3705.35","       3738.00","       3738.00","       3706.20","       3730.00","       3731.55","       3723.34","    1583455","          5895744278.15","     109724"
"TCS","EQ","31-Mar-2022","       3731.55","       3740.00","       3754.65","       3720.20","       3742.85","       3739.95","       3743.43","    2168110","          8116163209.35","     146788"
"TCS","EQ","01-Apr-2022","       3739.95","       3748.00","       3763.00","       3728.05","       3759.00","       3758.75","       3747.37","    1387014","          5197652138.25","      91136"
"TCS","EQ","04-Apr-2022","       3758.75","       3762.00","       3780.00","       3737.10","       3771.00","       3770.35","       3767.16","    1472994","          5548997654.95","     101419"
"TCS","EQ","05-Apr-2022","       3770.35","       3772.00","       3835.60","       3772.00","       3812.50","       3814.80","       3813.04","    2314947","          8826982342.80","     163963"
"TCS","EQ","06-Apr-2022","       3814.80","       3809.30","       3809.30","       3731.15","       3752.00","       3755.35","       3761.93","    2051729","          7718464770.35","     132368"
"TCS","EQ","07-Apr-2022","       3755.35","       3745.50","       3745.50","       3679.00","       3682.95","       3684.15","       3705.25","    2494829","          9243973241.15","     149240"
"TCS","EQ","08-Apr-2022","       3684.15","       3690.00","       3705.00","       3642.50","       3690.05","       3685.65","       3677.34","    2296773","          8446026504.20","     134082"
"TCS","EQ","11-Apr-2022","       3685.65","       3690.00","       3712.35","       3656.10","       3699.00","       3696.40","       3690.42","    2291660","          8457191677.85","     171882"
"TCS","EQ","12-Apr-2022","       3696.40","       3683.00","       3739.00","       3648.35","       3686.00","       3691.10","       3706.35","    4483476","         16617340654.70","     254563"
"TCS","EQ","13-Apr-2022","       3691.10","       3707.00","       3709.85","       3655.55","       3664.95","       3661.95","       3673.55","    1621672","          5957287429.65","     103822"
"TCS","EQ","18-Apr-2022","       3661.95","       3610.00","       3610.00","       3522.50","       3531.80","       3528.05","       3548.77","    3820792","         13559130603.80","     324929"
